resort_name,resort_type,location,last_24hr_snow,prev_1_5_days,prev_6_10_days,prev_11_15_days,next_1_5_days,next_6_10_days,next_11_15_days,latitude,longitude,forecast_updated_at
Cortina,Ikon,"Belluno, Italy",0.0,3,1,8,3,9,9,46.5401,12.0905,2026-02-19 16:01:00+00:00
Corvara (Alta Badia),Ikon,"Bolzano, Italy",0.0,5,0,7,3,8,7,46.5491,11.8987,2026-02-19 16:30:45+00:00
Crystal Mountain,Ikon,"Washington, United States",1.0,7,2,4,19,23,10,46.9294,-121.4944,2026-02-19 15:54:44+00:00
Cypress Mountain,Ikon,"British Columbia, Canada",1.0,16,15,1,11,23,15,49.4001,-123.1979,2026-02-19 17:07:21+00:00
Eldora,Ikon,"Colorado, United States",1.0,6,2,0,2,3,6,39.9369,-105.5899,2026-02-19 16:12:40+00:00
Espace San Bernardo,Ikon,"Valle d'Aosta, Italy",8.0,51,45,8,7,10,7,45.694,6.9081,2026-02-19 16:07:02+00:00
Furano,Ikon,"Hokkaidô, Japan",1.0,6,19,9,3,3,11,43.3315,142.3318,2026-02-19 15:55:42+00:00
Grands Montets,Ikon,"Haute-Savoie, France",8.0,34,84,6,13,14,6,45.9597,6.9423,2026-02-19 17:13:16+00:00
Grandvalira,Ikon,"Encamp, Andorra",3.0,18,14,7,4,4,6,42.5538,1.6609,2026-02-19 16:43:02+00:00
Hoshino Resorts Nekoma Mountain,Ikon,"Hukusima, Japan",4.0,4,8,8,0,0,4,37.6027,140.0359,2026-02-19 16:36:35+00:00
Jackson Hole,Ikon,"Wyoming, United States",6.0,21,26,2,1,11,6,43.5934,-110.8523,2026-02-19 16:42:55+00:00
June Mountain,Ikon,"California, United States",2.0,51,37,0,8,17,0,37.7441,-119.0698,2026-02-19 16:49:01+00:00
Killington,Ikon,"Vermont, United States",0.0,1,8,6,10,5,9,43.6107,-72.8113,2026-02-19 16:54:04+00:00
Kirchberg,Ikon,"Tirol, Austria",0.0,19,1,1,14,5,4,47.4281,12.3535,2026-02-19 15:55:35+00:00
Kitzbühel,Ikon,"Tirol, Austria",0.0,18,1,0,11,3,2,47.4623,12.4074,2026-02-19 15:55:35+00:00
Kronplatz,Ikon,"Bolzano, Italy",0.0,2,0,4,3,5,7,46.7393,11.9672,2026-02-19 16:31:03+00:00
La Thuile,Ikon,"Valle d'Aosta, Italy",5.0,45,50,7,6,10,6,45.693,6.9301,2026-02-19 16:48:46+00:00
Lake Louise,Ikon,"Alberta, Canada",0.0,10,0,2,2,9,8,51.4536,-116.1388,2026-02-19 17:18:55+00:00
Le Tour,Ikon,"Haute-Savoie, France",0.0,34,51,2,9,10,4,46.0084,6.9612,2026-02-19 16:01:22+00:00
Les Houches,Ikon,"Haute-Savoie, France",3.0,46,38,4,9,5,3,45.8829,6.7656,2026-02-19 16:06:28+00:00
Loon Mountain,Ikon,"New Hampshire, United States",0.0,0,8,3,6,6,8,44.0434,-71.6285,2026-02-19 16:31:03+00:00
Lotte Arai,Ikon,"Niigata, Japan",8.0,15,20,54,0,0,17,36.992,138.1499,2026-02-19 16:43:03+00:00
Mammoth Mountain,Ikon,"California, United States",9.0,61,24,0,12,24,0,37.6368,-119.0246,2026-02-19 16:42:59+00:00
Megeve,Ikon,"Haute-Savoie, France",4.0,51,46,6,13,9,3,45.8504,6.6696,2026-02-19 16:06:28+00:00
