resort_name,source,location,last_24hr_snow,prev_1_5_days,prev_6_10_days,prev_11_15_days,next_1_5_days,next_6_10_days,next_11_15_days,latitude,longitude,forecast_updated_at
Snowbird,Ikon,"Utah, United States",0.0,0,0,0,0,9,6,40.5665,-111.6523,2026-03-24 13:00:16+00:00
Snowmass,Ikon,"Colorado, United States",0.0,0,1,0,0,3,2,39.1806,-106.9517,2026-03-24 12:26:13+00:00
Snowshoe,Ikon,"West Virginia, United States",0.0,0,18,0,0,0,0,38.4157,-79.9952,2026-03-24 13:31:35+00:00
Solitude,Ikon,"Utah, United States",0.0,0,0,0,0,3,4,40.6163,-111.6032,2026-03-24 13:06:54+00:00
Steamboat,Ikon,"Colorado, United States",0.0,0,1,4,0,2,0,40.4537,-106.7587,2026-03-24 13:25:33+00:00
Stratton,Ikon,"Vermont, United States",0.0,0,2,2,0,0,3,43.103,-72.9097,2026-03-24 13:43:08+00:00
Sugarbush,Ikon,"Vermont, United States",0.0,8,4,2,2,5,9,44.1289,-72.9195,2026-03-24 13:31:08+00:00
Sugarloaf,Ikon,"Maine, United States",2.0,22,1,3,2,3,9,45.035,-70.3145,2026-03-24 13:13:14+00:00
Summit Central at Snoqualmie,Ikon,"Washington, United States",,0,24,66,4,2,1,47.4018,-121.4217,2026-03-24 12:32:10+00:00
Summit East at Snoqualmie,Ikon,"Washington, United States",,0,3,66,3,1,1,47.3885,-121.4023,2026-03-24 13:24:23+00:00
Summit West at Snoqualmie,Ikon,"Washington, United States",0.0,0,23,66,4,1,1,47.4219,-121.4204,2026-03-24 13:24:23+00:00
Sun Peaks Resort,Ikon,"British Columbia, Canada",0.0,2,7,6,4,2,1,50.9,-119.8803,2026-03-24 12:25:36+00:00
Sun Valley,Ikon,"Idaho, United States",0.0,0,0,0,0,6,1,43.6651,-114.3972,2026-03-24 12:48:23+00:00
Sunday River,Ikon,"Maine, United States",2.0,18,2,4,0,1,10,44.46,-70.8738,2026-03-24 12:44:02+00:00
Taos,Ikon,"New Mexico, United States",0.0,0,0,0,0,0,0,36.5823,-105.4517,2026-03-24 12:37:29+00:00
The Highlands,Ikon,"Michigan, United States",0.0,0,5,13,1,0,2,45.4716,-84.944,2026-03-24 12:49:02+00:00
The Remarkables,Ikon,"Otago, New Zealand",0.0,0,0,0,0,0,0,-45.0589,168.8132,2026-03-24 13:00:06+00:00
Thredbo,Ikon,"New South Wales, Australia",0.0,0,0,0,2,0,0,-36.4929,148.301,2026-03-24 12:25:25+00:00
Valle Nevado,Ikon,"Regíon Metropolitana de Santiago, Chile",0.0,12,0,0,0,0,0,-33.3404,-70.2495,2026-03-24 13:06:56+00:00
Winter Park,Ikon,"Colorado, United States",0.0,0,8,6,0,2,2,39.8631,-105.7736,2026-03-24 12:37:53+00:00
Yunding Snow Park,Ikon,"Hebei, China",0.0,0,0,1,0,0,0,40.9652,115.3066,2026-03-24 12:55:42+00:00
Zao Onsen,Ikon,"Yamagata, Japan",0.0,3,0,1,0,0,3,38.1496,140.4045,2026-03-24 12:56:42+00:00
Zermatt,Ikon,"Wallis, Switzerland",0.0,4,9,4,4,1,11,45.9935,7.7563,2026-03-24 13:12:35+00:00
3 Zinnen (3 Peaks) Dolomites,Epic,"Bolzano, Italy",0.0,6,6,0,7,1,6,46.7127,12.3641,2026-03-24 13:36:43+00:00
Afton Alps,Epic,"Minnesota, United States",0.0,0,17,0,0,0,0,44.8529,-92.7881,2026-03-24 12:37:02+00:00
Alpine Valley,Epic,"Ohio, United States",1.0,1,2,0,0,0,0,41.528,-81.2617,2026-03-24 13:31:35+00:00
Andermatt,Epic,"Uri, Switzerland",0.0,6,33,3,12,3,6,46.6172,8.6044,2026-03-24 12:25:47+00:00
Attitash,Epic,"New Hampshire, United States",3.0,5,1,2,1,0,5,44.0704,-71.2426,2026-03-24 13:13:27+00:00
Beaver Creek,Epic,"Colorado, United States",0.0,0,1,2,0,3,1,39.5792,-106.5087,2026-03-24 13:15:45+00:00
Big Boulder,Epic,"Pennsylvania, United States",0.0,0,0,0,0,0,0,41.0472,-75.6025,2026-03-24 12:50:01+00:00
Boston Mills Brandywine,Epic,"Ohio, United States",0.0,0,1,0,0,0,0,41.2646,-81.5659,2026-03-24 13:36:19+00:00
Breckenridge,Epic,"Colorado, United States",1.0,1,3,8,0,2,0,39.4731,-106.0882,2026-03-24 13:24:35+00:00
Brides Les Bains,Epic,"Savoie, France",0.0,4,16,6,22,3,7,45.3497,6.5765,2026-03-24 13:31:19+00:00
Bruson,Epic,"Wallis, Switzerland",0.0,2,17,2,14,3,0,46.063,7.1994,2026-03-24 12:25:17+00:00
Courchevel,Epic,"Savoie, France",0.0,4,14,5,18,4,6,45.4165,6.6221,2026-03-24 13:48:42+00:00
Crans Montana,Epic,"Wallis, Switzerland",0.0,9,17,6,16,3,1,46.338,7.4924,2026-03-24 12:42:03+00:00
Crested Butte,Epic,"Colorado, United States",0.0,0,0,0,0,3,0,38.8958,-106.9492,2026-03-24 13:20:12+00:00
Crotched Mountain,Epic,"New Hampshire, United States",0.0,0,0,0,0,0,1,43.0077,-71.8772,2026-03-24 13:19:41+00:00
Disentis,Epic,"Graubünden, Switzerland",0.0,1,24,2,18,5,11,46.7046,8.7993,2026-03-24 13:18:31+00:00
Falls Creek,Epic,"Victoria, Australia",0.0,0,0,0,2,0,0,-36.8715,147.2738,2026-03-24 13:14:18+00:00
Fernie,Epic,"British Columbia, Canada",0.0,0,11,17,5,2,2,49.4626,-115.1175,2026-03-24 13:03:10+00:00
